PB_Obj;PB_Longi;PB_Latid;PB_Link10;PB_Den10;PB_Pob10;PB_UHecta;PB_Upobla;PB_UMen18;PB_UPEA65;PB_UMay65;PB_Uinmig;PB_RCHect;PB_UDenHo;PB_UHogar;PB_UDenNBIH;PB_UNBIH;PB_UDenNBI;PB_UNBI;GN_AuUni;GN_AuTra;GN_AuT1;GN_AuT2;GN_AuT3;GN_AuT4;GN_AuT5;GN_AuT6;GN_AuT7;GN_AuT8;GN_AuT9;GN_Secto;GN_SecNo;GN_SecSu;GN_AuKm2;GN_DsAu;GN_Ds100;GN_DsAuI;GN_AuFra;GN_AuFra1;GN_AuFra2;GN_AuFra3;GN_AuFra4;GN_DsAve;GN_DsSub;GN_DsEVe;GN_DsAcc;GN_DenPC;GN_EVeAm;RU_Id;RU_NDbaM;RU_NDbaX;RU_DDbaM;RU_DDbaX;RU_IdAu;RU_Ds;RU_DsInv;RU_Accio;RU_Reloc;RU_Aisla;RU_Prote;BA_Id;BA_Ds;BA_DsInv;BA_TBAu;BA_CPasan;BA_CCorta;BA_TVia;BA_SentVi;BA_TrPub;BA_IdTra;BA_NomTra;BA_TraAl;BA_TraMe;BA_TraBa;QR_PrAmb;QR_EsPub;QR_Total;QR_DenHa;RS_ResM2;RS_ComM2;RS_SAcM2;RS_AutM2;RS_OtrM2;RS_TotM2;RS_Mix;RS_ResCou;RS_ComCou;RS_SAcCou;RS_AutCou;RS_OtrCou;RS_TotCou;USM2_16;USM2_17;USM2_18;USM2_Tot;DL_2016;DL_2017;DL_2018;DL_HurPer;DL_HurAut;DL_RobPer;DL_Total;DL_Pr2016;DL_Pr2017;DL_Pr2018;DL_PrHurPer;DL_PrHurAut;DL_PrRobPer;DL_PrTotal
1;100921,7;97651,9;20071510,000;28,841;1023,000;0,241;6,950;1,787;4,232;0,931;1,434;35,448;9,225;2,223;0,310;0,075;0,507;0,122;1;9;0;0;0;0;0;0;0;0;1;SUR;0;1;0,00240959;1001,79670607000;1100,000;0,00099820652;1;1;0;0;0;16,48353882950;1103,89492998000;21,51621368360;1360,99804981000;0,00000000000;0;0,00000000000;76,51133100000;81,51133100000;81,51133100000;86,51133100000;1292,00000000000;947;0,0011;Proteger;0;0;1;90,00000000000;1012,28681508000;0,00098786232;Calle pasante;1;0;Calle;Doble;0;0,000000;Baja;0,000000;0,000000;1,000000;0,000000;3,000000;3,000000;4,480287;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;100852,4;97637,0;20071510,000;28,841;1023,000;0,769;22,191;5,705;13,514;2,972;4,578;35,448;9,225;7,098;0,310;0,238;0,507;0,390;2;9;0;0;0;0;0;0;0;0;1;SUR;0;1;0,00769403;945,36885778800;1000,000;0,00105778818;1;1;0;0;0;34,69914580330;1067,79071237000;0,00000000000;1364,83861293000;0,00000000000;0;1,00000000000;76,51133100000;81,51133100000;81,51133100000;86,51133100000;1294,00000000000;904;0,0011;Aislar;0;1;0;90,00000000000;958,70874388500;0,00104306966;Calle pasante;1;0;Calle;Doble;0;0,000000;Baja;0,000000;0,000000;1,000000;0,000000;3,000000;3,000000;4,480287;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;2;0;3;0;9;12;0,45064173;0,090128346;0;0,135192519;0;0,405577557;0,540770076
3;100805,9;97680,0;20071510,000;28,841;1023,000;0,036;1,046;0,269;0,637;0,140;0,216;35,448;9,225;0,335;0,310;0,011;0,507;0,018;3;9;0;0;0;0;0;0;0;0;1;SUR;0;1;0,00036269;884,97412529800;900,000;0,00112997654;1;1;0;0;0;7,17471787339;1004,86425407000;18,45193908520;1316,83599119000;1,00000000000;0;2,00000000000;65,00000000000;70,00000000000;70,00000000000;75,00000000000;1294,00000000000;843;0,0012;Aislar;0;1;0;90,00000000000;896,98291406800;0,00111484844;Calle pasante;1;0;Calle;Doble;0;0,000000;Baja;0,000000;0,000000;1,000000;0,000000;3,000000;3,000000;4,480287;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;100687,9;97683,1;20071510,000;28,841;1023,000;2,673;77,081;19,816;46,942;10,323;15,902;35,448;9,225;24,654;0,310;0,828;0,507;1,356;4;9;0;0;0;0;0;0;0;0;1;SUR;0;1;0,02672583;776,92733584800;800,000;0,00128712166;1;1;0;0;0;61,03343063230;929,77557659100;124,63783708500;1307,26602368000;0,00000000000;0;3,00000000000;71,51133100000;76,51133100000;76,51133100000;81,51133100000;1294,00000000000;740;0,0014;Aislar;0;1;0;90,00000000000;794,55824085200;0,00125856098;Calle pasante;1;0;Calle;Doble;0;0,000000;Baja;0,000000;0,000000;1,000000;0,000000;3,000000;3,000000;4,480287;0;0;0;0;13899,1497;13899,1497;0,6;0;0;0;0;2;2;0;0;0;0;0;3;8;0;0;11;11;0;0,038920248;0,103787327;0;0;0,142707574;0,142707574
5;100528,7;97729,0;20071510,000;28,841;1023,000;1,370;39,523;10,161;24,069;5,293;8,154;35,448;9,225;12,642;0,310;0,425;0,507;0,695;5;9;0;0;0;0;0;0;0;0;1;SUR;0;1;0,01370372;613,29317249800;700,000;0,00163054155;1;1;0;0;0;87,87554985960;806,99811565500;290,22914288100;1269,71534166000;0,00000000000;0;4,00000000000;71,51133100000;76,51133100000;76,51133100000;81,51133100000;1294,00000000000;583;0,0017;Aislar;0;1;0;90,00000000000;638,15722535400;0,00156701195;Calle pasante;1;0;Calle;Doble;0;0,000000;Baja;0,000000;0,000000;1,000000;0,000000;3,000000;3,000000;4,480287;4642;35;370;999;4679;10724;20,5;25;1;3;10;13;52;0;0;0;0;1;1;4;2;1;3;6;0,025301544;0,025301544;0,101206178;0,050603089;0,025301544;0,075904633;0,151809267
6;100583,9;97782,7;20071510,000;28,841;1023,000;0,662;19,099;4,910;11,631;2,558;3,940;35,448;9,225;6,109;0,310;0,205;0,507;0,336;6;9;0;0;0;0;0;0;0;0;1;SUR;0;1;0,00662216;640,40859780500;700,000;0,00156150308;1;1;0;0;0;82,45014161510;788,87951430800;258,62425225600;1211,03967513000;0,00000000000;0;5,00000000000;66,19331000000;71,19331000000;71,19331000000;76,19331000000;1294,00000000000;599;0,0017;Aislar;0;1;0;90,00000000000;653,45269266100;0,00153033266;Calle pasante;1;0;Calle;Doble;0;0,000000;Baja;0,000000;0,000000;1,000000;0,000000;3,000000;3,000000;4,480287;3119;0;0;643;0;3762;15,4;24;0;0;10;0;34;0;0;0;0;1;1;1;2;0;1;3;0,052358378;0,052358378;0,052358378;0,104716757;0;0,052358378;0,157075135
7;100623,7;97819,6;20071510,000;28,841;1023,000;0,690;19,901;5,116;12,120;2,665;4,106;35,448;9,225;6,365;0,310;0,214;0,507;0,350;7;9;0;0;0;0;0;0;0;0;1;SUR;0;1;0,00690021;660,65780506200;700,000;0,00151364291;1;1;0;0;0;28,25370187450;781,63554114400;246,68138696300;1171,78948238000;1,00000000000;0;6,00000000000;71,51133100000;76,51133100000;76,51133100000;81,51133100000;1294,00000000000;617;0,0016;Aislar;0;1;0;90,00000000000;670,50917741100;0,00149140390;Calle pasante;1;0;Calle;Doble;0;0,000000;Baja;0,000000;0,000000;1,000000;0,000000;3,000000;3,000000;4,480287;2092;36;42;554;483;3205;14,2;20;1;2;10;2;35;0;0;0;0;8;0;1;1;2;6;9;0,401988395;0;0,050248549;0,050248549;0,100497099;0,301491297;0,452236945
8;100428,1;97821,8;20071510,000;28,841;1023,000;1,391;40,117;10,314;24,431;5,372;8,276;35,448;9,225;12,831;0,310;0,431;0,507;0,706;8;9;0;0;0;0;0;0;0;0;1;SUR;0;1;0,01390961;482,77681634000;500,000;0,00207135050;1;1;0;0;0;168,99787744000;679,47877375500;415,99724024100;1194,30513114000;0,00000000000;0;7,00000000000;66,51133100000;71,51133100000;71,51133100000;76,51133100000;1294,00000000000;447;0,0022;Aislar;0;1;0;90,00000000000;501,96954280700;0,00199215274;Calle pasante;1;0;Calle;Doble;0;0,000000;Baja;0,000000;0,000000;1,000000;0,000000;3,000000;3,000000;4,480287;3768;0;0;1065;3363;8192;21,3;28;0;0;12;11;51;0;0;0;0;1;1;2;2;0;2;4;0,024927029;0,024927029;0,049854058;0,049854058;0;0,049854058;0,099708117
9;100488,5;97875,0;20071510,000;28,841;1023,000;0,815;23,509;6,044;14,317;3,148;4,850;35,448;9,225;7,519;0,310;0,253;0,507;0,414;9;9;0;0;0;0;0;0;0;0;1;SUR;0;1;0,00815130;514,77734473000;600,000;0,00194258743;1;1;0;0;0;95,72686420150;660,00183402500;388,13342763600;1130,78956044000;0,00000000000;0;8,00000000000;66,51133100000;71,51133100000;71,51133100000;76,51133100000;1294,00000000000;471;0,0021;Aislar;0;1;0;90,00000000000;524,96314375800;0,00190489563;Calle pasante;1;0;Calle;Doble;0;0,000000;Baja;0,000000;0,000000;1,000000;0,000000;3,000000;3,000000;4,480287;3299;0;87;488;379;4249;18,5;27;0;1;8;5;41;0;0;0;0;1;1;1;0;3;0;3;0,042536215;0,042536215;0,042536215;0;0,127608645;0;0,127608645
10;100536,2;97915,7;20071510,000;28,841;1023,000;0,905;26,094;6,708;15,891;3,494;5,383;35,448;9,225;8,346;0,310;0,280;0,507;0,459;10;9;0;0;0;0;0;0;0;0;1;SUR;0;1;0,00904736;541,34640072700;600,000;0,00184724605;1;1;0;0;0;32,97991190350;652,32131204500;375,81177061200;1083,48983893000;0,00000000000;0;9,00000000000;71,51133100000;76,51133100000;76,51133100000;81,51133100000;1292,00000000000;491;0,0020;Proteger;0;0;1;90,00000000000;551,30829243600;0,00181386715;Calle pasante;1;0;Calle;Doble;0;0,000000;Baja;0,000000;0,000000;1,000000;0,000000;3,000000;3,000000;4,480287;2453;0;0;1660;1066;5176;15,2;21;0;0;11;5;37;0;0;0;0;2;2;3;2;1;4;7;0,076646751;0,076646751;0,114970126;0,076646751;0,038323375;0,153293501;0,268263627
