PB_Obj;PB_Longi;PB_Latid;PB_Link10;PB_Den10;PB_Pob10;PB_UHecta;PB_Upobla;PB_UMen18;PB_UPEA65;PB_UMay65;PB_Uinmig;PB_UPorInm;PB_RCHect;PB_UDenHo;PB_UHogar;PB_UDenNBIH;PB_UNBIH;PB_UPorNBIH;PB_UDenNBI;PB_UNBI;PB_UPorNBI;GN_AuUni;GN_AuTra;GN_AuT1;GN_AuT2;GN_AuT3;GN_AuT4;GN_AuT5;GN_AuT6;GN_AuT7;GN_AuT8;GN_AuT9;GN_Secto;GN_SecNo;GN_SecSu;GN_AuKm2;GN_DsAu;Log_DsAU;GN_Ds100;GN_DsAuI;GN_AuFra;GN_AuFra1;GN_AuFra2;GN_AuFra3;GN_AuFra4;GN_DsAve;GN_DsSub;GN_DsEVe;GN_DsAcc;GN_DenPC;GN_EVeAm;RU_Id;RU_NDbaM;RU_NDbaX;RU_DDbaM;RU_DDbaX;RU_IdAu;RU_Ds;RU_DsInv;RU_Accio;RU_Reloc;RU_Aisla;RU_Prote;BA_Id;BA_Ds;BA_DsInv;BA_TBAu;BA_CPasan;BA_CCorta;BA_TVia;BA_SentVi;BA_TrPub;BA_IdTra;BA_NomTra;BA_TraAl;BA_TraMe;BA_TraBa;QR_PrAmb;QR_EsPub;QR_Total;QR_DenHa
1;100921,7;97651,9;20071510;28,841;1023;0,241;6,95;1,787;4,232;0,931;1,434;0,206;35,448;9,225;2,223;0,31;0,075;0,034;0,507;0,122;0,018;1;9;0;0;0;0;0;0;0;0;1;SUR;0;1;0,00240959;1001,796706;6,909550373;1100;0,000998207;1;1;0;0;0;16,48353883;1103,89493;21,51621368;1360,99805;0;0;0;76,511331;81,511331;81,511331;86,511331;1292;947;0,0011;Proteger;0;0;1;90;1012,286815;0,000987862;Calle pasante;1;0;Calle;Doble;0;0;Baja;0;0;1;0;3;3;4,480287
2;100852,4;97637;20071510;28,841;1023;0,769;22,191;5,705;13,514;2,972;4,578;0,206;35,448;9,225;7,098;0,31;0,238;0,034;0,507;0,39;0,018;2;9;0;0;0;0;0;0;0;0;1;SUR;0;1;0,00769403;945,3688578;6,851575177;1000;0,001057788;1;1;0;0;0;34,6991458;1067,790712;0;1364,838613;0;0;1;76,511331;81,511331;81,511331;86,511331;1294;904;0,0011;Aislar;0;1;0;90;958,7087439;0,00104307;Calle pasante;1;0;Calle;Doble;0;0;Baja;0;0;1;0;3;3;4,480287
3;100805,9;97680;20071510;28,841;1023;0,036;1,046;0,269;0,637;0,14;0,216;0,206;35,448;9,225;0,335;0,31;0,011;0,034;0,507;0,018;0,018;3;9;0;0;0;0;0;0;0;0;1;SUR;0;1;0,00036269;884,9741253;6,785558408;900;0,001129977;1;1;0;0;0;7,174717873;1004,864254;18,45193909;1316,835991;1;0;2;65;70;70;75;1294;843;0,0012;Aislar;0;1;0;90;896,9829141;0,001114848;Calle pasante;1;0;Calle;Doble;0;0;Baja;0;0;1;0;3;3;4,480287
4;100687,9;97683,1;20071510;28,841;1023;2,673;77,081;19,816;46,942;10,323;15,902;0,206;35,448;9,225;24,654;0,31;0,828;0,034;0,507;1,356;0,018;4;9;0;0;0;0;0;0;0;0;1;SUR;0;1;0,02672583;776,9273358;6,655346827;800;0,001287122;1;1;0;0;0;61,03343063;929,7755766;124,6378371;1307,266024;0;0;3;71,511331;76,511331;76,511331;81,511331;1294;740;0,0014;Aislar;0;1;0;90;794,5582409;0,001258561;Calle pasante;1;0;Calle;Doble;0;0;Baja;0;0;1;0;3;3;4,480287
5;100528,7;97729;20071510;28,841;1023;1,37;39,523;10,161;24,069;5,293;8,154;0,206;35,448;9,225;12,642;0,31;0,425;0,034;0,507;0,695;0,018;5;9;0;0;0;0;0;0;0;0;1;SUR;0;1;0,01370372;613,2931725;6,41884308;700;0,001630542;1;1;0;0;0;87,87554986;806,9981157;290,2291429;1269,715342;0;0;4;71,511331;76,511331;76,511331;81,511331;1294;583;0,0017;Aislar;0;1;0;90;638,1572254;0,001567012;Calle pasante;1;0;Calle;Doble;0;0;Baja;0;0;1;0;3;3;4,480287
6;100583,9;97782,7;20071510;28,841;1023;0,662;19,099;4,91;11,631;2,558;3,94;0,206;35,448;9,225;6,109;0,31;0,205;0,034;0,507;0,336;0,018;6;9;0;0;0;0;0;0;0;0;1;SUR;0;1;0,00662216;640,4085978;6,462106407;700;0,001561503;1;1;0;0;0;82,45014162;788,8795143;258,6242523;1211,039675;0;0;5;66,19331;71,19331;71,19331;76,19331;1294;599;0,0017;Aislar;0;1;0;90;653,4526927;0,001530333;Calle pasante;1;0;Calle;Doble;0;0;Baja;0;0;1;0;3;3;4,480287
7;100623,7;97819,6;20071510;28,841;1023;0,69;19,901;5,116;12,12;2,665;4,106;0,206;35,448;9,225;6,365;0,31;0,214;0,034;0,507;0,35;0,018;7;9;0;0;0;0;0;0;0;0;1;SUR;0;1;0,00690021;660,6578051;6,493236013;700;0,001513643;1;1;0;0;0;28,25370187;781,6355411;246,681387;1171,789482;1;0;6;71,511331;76,511331;76,511331;81,511331;1294;617;0,0016;Aislar;0;1;0;90;670,5091774;0,001491404;Calle pasante;1;0;Calle;Doble;0;0;Baja;0;0;1;0;3;3;4,480287
8;100428,1;97821,8;20071510;28,841;1023;1,391;40,117;10,314;24,431;5,372;8,276;0,206;35,448;9,225;12,831;0,31;0,431;0,034;0,507;0,706;0,018;8;9;0;0;0;0;0;0;0;0;1;SUR;0;1;0,01390961;482,7768163;6,179554469;500;0,002071351;1;1;0;0;0;168,9978774;679,4787738;415,9972402;1194,305131;0;0;7;66,511331;71,511331;71,511331;76,511331;1294;447;0,0022;Aislar;0;1;0;90;501,9695428;0,001992153;Calle pasante;1;0;Calle;Doble;0;0;Baja;0;0;1;0;3;3;4,480287
9;100488,5;97875;20071510;28,841;1023;0,815;23,509;6,044;14,317;3,148;4,85;0,206;35,448;9,225;7,519;0,31;0,253;0,034;0,507;0,414;0,018;9;9;0;0;0;0;0;0;0;0;1;SUR;0;1;0,0081513;514,7773447;6,243734467;600;0,001942587;1;1;0;0;0;95,7268642;660,001834;388,1334276;1130,78956;0;0;8;66,511331;71,511331;71,511331;76,511331;1294;471;0,0021;Aislar;0;1;0;90;524,9631438;0,001904896;Calle pasante;1;0;Calle;Doble;0;0;Baja;0;0;1;0;3;3;4,480287
10;100536,2;97915,7;20071510;28,841;1023;0,905;26,094;6,708;15,891;3,494;5,383;0,206;35,448;9,225;8,346;0,31;0,28;0,034;0,507;0,459;0,018;10;9;0;0;0;0;0;0;0;0;1;SUR;0;1;0,00904736;541,3464007;6,294059371;600;0,001847246;1;1;0;0;0;32,9799119;652,321312;375,8117706;1083,489839;0;0;9;71,511331;76,511331;76,511331;81,511331;1292;491;0,002;Proteger;0;0;1;90;551,3082924;0,001813867;Calle pasante;1;0;Calle;Doble;0;0;Baja;0;0;1;0;3;3;4,480287
11;100326,3;97914,6;20071510;28,841;1023;1,396;40,255;10,349;24,515;5,391;8,305;0,206;35,448;9,225;12,876;0,31;0,433;0,034;0,507;0,708;0,018;11;9;0;0;0;0;0;0;0;0;1;SUR;0;1;0,01395736;351,1928166;5,861335408;400;0,002847439;1;1;0;0;0;193,4535919;555,9924775;358,4440732;1130,797355;1;0;10;66,511331;71,511331;71,511331;76,511331;1294;310;0,0032;Aislar;0;1;0;90;365,2805885;0,002737622;Calle pasante;1;0;Calle;Doble;0;0;Baja;0;0;1;0;3;3;4,480287
12;100389,5;97970,6;20071510;28,841;1023;0,92;26,542;6,824;16,164;3,554;5,476;0,206;35,448;9,225;8,489;0,31;0,285;0,034;0,507;0,467;0,018;12;9;0;0;0;0;0;0;0;0;1;SUR;0;1;0,00920266;384,7766754;5,952663102;400;0,00259891;1;1;0;0;0;109,0562437;528,4411578;358,4082773;1058,894889;0;0;11;66,511331;71,511331;71,511331;76,511331;1294;343;0,0029;Aislar;0;1;0;90;394,6862174;0,002533658;Calle pasante;1;0;Calle;Doble;0;0;Baja;0;0;1;0;3;3;4,480287
13;100228,2;98004,1;20071502;70,569;1067;1,303;91,975;18,964;57,926;15,085;22,672;0,247;15,111;23,824;31,051;0,398;0,519;0,017;3,44;4,484;0,049;13;9;0;0;0;0;0;0;0;0;1;SUR;0;1;0,01303331;224,2616094;5,412813269;300;0,004459078;2;0;1;0;0;180,3763903;444,849894;228,3195675;1080,777533;1;0;12;66,19331;71,19331;71,19331;76,19331;1294;181;0,0055;Aislar;0;1;0;90;234,5718224;0,004263087;Calle pasante;1;0;Calle;Doble;0;0;Baja;0;0;1;0;3;3;4,480287
14;100443,4;98017,3;20071510;28,841;1023;1,041;30,024;7,719;18,284;4,021;6,194;0,206;35,448;9,225;9,603;0,31;0,323;0,034;0,507;0,528;0,018;14;9;0;0;0;0;0;0;0;0;1;SUR;0;1;0,01041005;419,0998631;6,038109228;500;0,002386066;1;1;0;0;0;37,74451098;515,8063658;365,5524437;1000,209482;1;0;13;66,511331;71,511331;71,511331;76,511331;1292;354;0,0028;Proteger;0;0;1;90;431,7532144;0,002316138;Calle pasante;1;0;Calle;Doble;0;0;Baja;0;0;1;0;3;3;4,480287
15;100294;98062,9;20071502;70,569;1067;0,948;66,907;13,795;42,138;10,973;16,492;0,247;15,111;23,824;22,588;0,398;0,377;0,017;3,44;3,262;0,049;15;9;0;0;0;0;0;0;0;0;1;SUR;0;1;0,00948105;263,0241931;5,572246017;300;0,003801932;2;0;1;0;0;121,8729252;405,3317723;225,7864736;1001,387411;0;0;14;66,19331;71,19331;71,19331;76,19331;1291;220;0,0045;Proteger;0;0;1;90;275,8815916;0,003624743;Calle pasante;1;0;Calle;Doble;0;0;Baja;0;0;1;0;3;3;4,480287
16;101285,7;98090,2;20071608;104,735;1106;1,438;150,616;36,769;96,825;17,023;22,336;0,148;10,552;33,359;47,972;0,854;1,228;0,026;1,231;1,77;0,012;16;9;0;0;0;0;0;0;0;0;1;SUR;0;1;0,01438073;1070,33896;6,975730662;1100;0,000934283;1;1;0;0;0;57,18057753;1058,21257;264,4735743;1084,405227;1;0;15;71,607237;76,607237;76,607237;81,607237;201;894;0,0011;Proteger;0;0;1;80;1079,55553;0,000926307;Calle pasante;1;0;Calle;Sencillo;0;0;Baja;0;0;1;0;8;8;9,706382
17;100563,8;98025,9;20071509;348;1218;3,503;1218,988;275,223;747,605;196,16;98,129;0,08;3,499;113,451;397,4;1,713;6,001;0,015;2,859;10,014;0,008;17;9;0;0;0;0;0;0;0;0;1;SUR;0;1;0,0350284;529,3568494;6,271662778;600;0,001889085;1;1;0;0;0;59,45779182;586,2225989;391,9430329;970,8033057;1;0;16;71,607237;76,607237;76,607237;81,607237;1292;430;0,0023;Proteger;0;0;1;89;537,5490231;0,001860295;Calle cortada;0;1;Calle;Sencillo;0;0;Baja;0;0;1;0;0;0;0
18;100956,2;97911,3;20071510;28,841;1023;22,533;649,874;167,074;395,768;87,031;134,069;0,206;35,448;9,225;207,862;0,31;6,984;0,034;0,507;11,432;0,018;18;9;0;0;0;0;0;0;0;0;1;SUR;0;1;0,22532763;937,4457693;6,84315891;1000;0,001066728;1;1;0;0;0;241,2058308;964,395596;211,2443668;1115,032021;0;0;17;71,607237;76,607237;76,607237;81,607237;1292;819;0,0012;Proteger;0;0;1;89;945,0833558;0,001058108;Calle cortada;0;1;Calle;Sencillo;0;0;Baja;0;0;1;0;0;0;0
19;100134,3;98094,9;20071502;70,569;1067;1,349;95,215;19,632;59,967;15,616;23,471;0,247;15,111;23,824;32,145;0,398;0,537;0,017;3,44;4,642;0,049;19;9;0;0;0;0;0;0;0;0;1;SUR;0;1;0,01349252;102,0327312;4,625293656;200;0,009800777;2;0;1;0;0;61,33030751;347,740894;105,2182003;1041,874269;0;0;18;71,511331;76,511331;76,511331;81,511331;1294;61;0,0164;Aislar;0;1;0;90;113,0955057;0,008842084;Calle pasante;1;0;Calle;Doble;0;0;Baja;0;0;1;0;3;3;4,480287
20;100353,7;98115,4;20071502;70,569;1067;1,088;76,788;15,833;48,361;12,594;18,928;0,246;15,111;23,824;25,924;0,398;0,433;0,017;3,44;3,743;0,049;20;9;0;0;0;0;0;0;0;0;1;SUR;0;1;0,01088125;301,4087552;5,708467334;400;0,003317754;2;0;1;0;0;42,36117981;384,5988677;235,3353147;931,5656085;1;0;19;66,511331;71,511331;71,511331;76,511331;1292;221;0,0045;Proteger;0;0;1;89;309,2867367;0,003233246;Calle cortada;0;1;Calle;Sencillo;0;0;Baja;0;0;1;0;0;0;0
21;100191,5;98162,4;20071502;70,569;1067;1,275;89,954;18,547;56,654;14,754;22,174;0,247;15,111;23,824;30,369;0,398;0,507;0,017;3,44;4,385;0,049;21;9;0;0;0;0;0;0;0;0;1;SUR;0;1;0,01274705;132,8171534;4,888973396;200;0,007529148;2;0;1;0;0;79,65051351;282,7672268;83,17567263;954,9768536;0;0;20;71,511331;76,511331;76,511331;81,511331;1291;77;0,013;Proteger;0;0;1;89;142,039849;0,007040278;Calle cortada;0;1;Calle;Sencillo;0;0;Baja;0;0;1;0;0;0;0
22;101192,7;98177,9;20071608;104,735;1106;1,438;150,589;36,762;96,807;17,02;22,332;0,148;10,552;33,359;47,964;0,854;1,228;0,026;1,231;1,77;0,012;22;9;0;0;0;0;0;0;0;0;1;SUR;0;1;0,01437815;942,5447494;6,848583398;1000;0,001060958;1;1;0;0;0;55,12553432;930,4571469;158,9680857;961,4603873;3;0;21;66,511331;71,511331;71,511331;76,511331;201;770;0,0013;Proteger;0;0;1;80;952,1608779;0,001050243;Calle pasante;1;0;Calle;Sencillo;0;0;Baja;0;0;1;0;8;8;9,706382
23;101366;98177,5;20071608;104,735;1106;1,544;161,743;39,485;103,977;18,28;23,986;0,148;10,552;33,359;51,516;0,854;1,319;0,026;1,231;1,901;0,012;23;9;0;0;0;0;0;0;0;0;1;SUR;0;1;0,01544305;1022,805506;6,930304627;1100;0,000977703;1;1;0;0;0;61,48378667;1046,916293;332,2678445;1056,449675;0;0;22;71,63713;76,63713;76,63713;81,63713;290;857;0,0012;Proteger;0;0;1;67;1035,415399;0,000965796;Calle pasante;1;0;Calle;Doble;1;1;Media;0;1;0;5;57;62;64,576607
24;100432,2;98182,9;20071505;105,856;705;1,579;167,112;38,874;105,245;22,993;28,91;0,173;6,659;34,992;55,241;0,451;0,713;0,013;0,602;0,95;0,006;24;9;0;0;0;0;0;0;0;0;1;SUR;0;1;0,01578673;355,3632953;5,873140633;400;0,002814022;2;0;1;0;0;61,16538745;382,4427356;282,206762;843,098275;1;0;23;66,511331;71,511331;71,511331;76,511331;1292;230;0,0043;Proteger;0;0;1;89;368,8633925;0,002711031;Calle cortada;0;1;Calle;Sencillo;0;0;Baja;0;0;1;0;0;0;0
25;100024,9;98282;20071502;70,569;1067;0,098;6,949;1,433;4,376;1,14;1,713;0,246;15,111;23,824;2,346;0,398;0,039;0,017;3,44;0,339;0,049;25;9;0;0;0;0;0;0;0;0;1;NORTE;1;0;0,00098469;44,0532163;3,785398364;100;0,022699818;2;0;1;0;0;11,53684373;204,0029795;92,21566622;953,7862719;1;0;24;70;75;75;80;24;0;0;Proteger;0;0;1;89;66,85182002;0,014958456;Calle cortada;0;1;Calle;Sencillo;0;0;Baja;0;0;1;0;0;0;0
26;100256,9;98221,3;20071502;70,569;1067;1,493;105,379;21,728;66,368;17,283;25,976;0,247;15,111;23,824;35,576;0,398;0,594;0,017;3,44;5,137;0,049;26;9;0;0;0;0;0;0;0;0;1;SUR;0;1;0,01493282;176,7363013;5,174658799;200;0,005658147;2;0;1;0;0;47,35888257;245,0154958;102,7861175;872,1242708;1;0;25;71,607237;76,607237;76,607237;81,607237;1292;77;0,013;Proteger;0;0;1;89;190,8113088;0,00524078;Calle cortada;0;1;Calle;Sencillo;0;0;Baja;0;0;1;0;0;0;0
